,Date,Ticker
0,2018-11-01,TSLA
1,2019-02-01,TSLA
2,2019-05-01,TSLA
3,2019-08-01,TSLA
4,2019-11-01,TSLA
5,2020-02-01,TSLA
6,2020-05-01,TSLA
7,2020-08-01,TSLA
8,2020-11-01,TSLA
9,2021-02-01,TSLA
10,2021-05-01,TSLA
11,2021-08-01,TSLA
12,2021-11-01,TSLA
13,2022-02-01,TSLA
14,2022-05-01,TSLA
15,2022-08-01,TSLA
16,2022-11-01,TSLA
17,2023-02-01,TSLA
18,2023-05-01,TSLA
19,2023-08-01,TSLA
20,2023-11-01,TSLA
0,2020-10-01,LU
1,2021-01-01,LU
2,2021-04-01,LU
3,2021-07-01,LU
4,2021-10-01,LU
5,2022-01-01,LU
6,2022-04-01,LU
7,2022-07-01,LU
8,2022-10-01,LU
9,2023-01-01,LU
10,2023-04-01,LU
11,2023-07-01,LU
12,2023-10-01,LU
0,2020-09-01,PLTR
1,2020-12-01,PLTR
2,2021-03-01,PLTR
3,2021-06-01,PLTR
4,2021-09-01,PLTR
5,2021-12-01,PLTR
6,2022-03-01,PLTR
7,2022-06-01,PLTR
8,2022-09-01,PLTR
9,2022-12-01,PLTR
10,2023-03-01,PLTR
11,2023-06-01,PLTR
12,2023-09-01,PLTR
13,2023-11-14,PLTR
0,2018-11-01,PLUG
1,2019-02-01,PLUG
2,2019-05-01,PLUG
3,2019-08-01,PLUG
4,2019-11-01,PLUG
5,2020-02-01,PLUG
6,2020-05-01,PLUG
7,2020-08-01,PLUG
8,2020-11-01,PLUG
9,2021-02-01,PLUG
10,2021-05-01,PLUG
11,2021-08-01,PLUG
12,2021-11-01,PLUG
13,2022-02-01,PLUG
14,2022-05-01,PLUG
15,2022-08-01,PLUG
16,2022-11-01,PLUG
17,2023-02-01,PLUG
18,2023-05-01,PLUG
19,2023-08-01,PLUG
20,2023-11-01,PLUG
0,2018-11-01,F
1,2019-02-01,F
2,2019-05-01,F
3,2019-08-01,F
4,2019-11-01,F
