Date,Ticker,5_Days_Before,4_Days_Before,3_Days_Before,2_Days_Before,1_Day_Before,Day_Of,1_Day_After
2018-11-01,TSLA,22.06,22.06,22.32,21.99,22.49,22.95,23.09
2019-02-01,TSLA,19.8,19.76,19.83,20.58,20.47,20.81,20.86
2019-05-01,TSLA,15.68,15.68,15.68,16.1,15.91,15.6,16.27
2019-08-01,TSLA,15.2,15.2,15.72,16.15,16.11,15.59,15.62
2019-11-01,TSLA,21.88,21.85,21.08,21.0,20.99,20.89,21.16
2020-02-01,TSLA,37.2,37.79,38.73,42.72,43.37,52.0,52.0
2020-05-01,TSLA,48.34,53.25,51.27,53.37,52.13,46.75,50.75
2020-08-01,TSLA,102.64,98.43,99.94,99.17,95.38,99.0,99.0
2020-11-01,TSLA,141.56,135.34,136.94,129.35,129.35,133.5,133.5
2021-02-01,TSLA,288.05,278.48,264.51,264.51,264.51,279.94,290.93
2021-05-01,TSLA,246.07,234.91,231.47,225.67,236.48,228.3,228.3
2021-08-01,TSLA,214.93,215.66,225.78,229.07,229.07,236.56,236.56
2021-11-01,TSLA,345.95,359.01,371.33,371.33,371.33,402.86,390.67
2022-02-01,TSLA,276.37,282.12,282.12,282.12,312.24,310.42,301.89
2022-05-01,TSLA,292.14,293.84,292.5,290.25,290.25,300.98,300.98
2022-08-01,TSLA,274.82,280.9,297.15,297.15,297.15,297.28,300.59
2022-11-01,TSLA,225.09,228.52,228.52,228.52,227.54,227.82,214.98
2023-02-01,TSLA,177.9,177.9,177.9,166.66,173.22,181.41,188.27
2023-05-01,TSLA,153.75,160.19,164.31,164.31,164.31,161.83,160.31
2023-08-01,TSLA,255.71,266.44,266.44,266.44,267.43,261.07,254.11
2023-11-01,TSLA,207.3,207.3,207.3,197.36,200.84,205.66,218.51
2021-01-01,LU,14.17,13.76,14.29,14.54,14.2,14.3,14.3
2021-04-01,LU,13.74,13.74,13.9,14.1,14.52,14.57,14.72
2021-07-01,LU,12.25,12.25,11.66,11.52,11.3,11.18,10.88
